""	"Sample"	"days_post_infection"	"plate_sample"	"Date"	"Cage.Key"	"diet"	"infected"	"campy"	"weight"	"Plate"	"Well"
"Plate2-D09"	"8.4"	5	"Plate2-D09"	"11/7/16"	"dPD+campy"	"dPD"	TRUE	0	17.82	"Plate2"	"D09"
"Plate2-E09"	"13.1"	5	"Plate2-E09"	"11/7/16"	"dZD"	"dZD"	FALSE	0	20.58	"Plate2"	"E09"
"Plate2-E10"	"13.3"	5	"Plate2-E10"	"11/7/16"	"dZD"	"dZD"	FALSE	0	22.81	"Plate2"	"E10"
"Plate2-E11"	"13.4"	5	"Plate2-E11"	"11/7/16"	"dZD"	"dZD"	FALSE	0	20.07	"Plate2"	"E11"
"Plate2-E12"	"15.1"	5	"Plate2-E12"	"11/7/16"	"dZD+campy"	"dZD"	TRUE	0	17.52	"Plate2"	"E12"
"Plate2-F01"	"15.2"	5	"Plate2-F01"	"11/7/16"	"dZD+campy"	"dZD"	TRUE	0	20.23	"Plate2"	"F01"
"Plate2-F02"	"15.3"	5	"Plate2-F02"	"11/7/16"	"dZD+campy"	"dZD"	TRUE	0	21.52	"Plate2"	"F02"
"Plate2-F03"	"15.4"	5	"Plate2-F03"	"11/7/16"	"dZD+campy"	"dZD"	TRUE	0	NA	"Plate2"	"F03"
"Plate2-F04"	"16.1"	5	"Plate2-F04"	"11/7/16"	"dZD+campy"	"dZD"	TRUE	0	18.84	"Plate2"	"F04"
"Plate2-F05"	"16.2"	5	"Plate2-F05"	"11/7/16"	"dZD+campy"	"dZD"	TRUE	0	21.25	"Plate2"	"F05"
"Plate2-F06"	"16.3"	5	"Plate2-F06"	"11/7/16"	"dZD+campy"	"dZD"	TRUE	0	20.5	"Plate2"	"F06"
"Plate2-F07"	"16.4"	5	"Plate2-F07"	"11/7/16"	"dZD+campy"	"dZD"	TRUE	333.8882	19.9	"Plate2"	"F07"
"Plate2-F08"	"1.2"	9	"Plate2-F08"	"11/11/16"	"HC"	"HC"	FALSE	0	21.9	"Plate2"	"F08"
"Plate2-F09"	"1.3"	9	"Plate2-F09"	"11/11/16"	"HC"	"HC"	FALSE	0	23.23	"Plate2"	"F09"
"Plate2-F10"	"1.4"	9	"Plate2-F10"	"11/11/16"	"HC"	"HC"	FALSE	0	23.26	"Plate2"	"F10"
"Plate2-F11"	"2.1"	9	"Plate2-F11"	"11/11/16"	"HC"	"HC"	FALSE	0	21.75	"Plate2"	"F11"
"Plate2-F12"	"2.2"	9	"Plate2-F12"	"11/11/16"	"HC"	"HC"	FALSE	0	22.86	"Plate2"	"F12"
"Plate2-G01"	"2.3"	9	"Plate2-G01"	"11/11/16"	"HC"	"HC"	FALSE	0	21.45	"Plate2"	"G01"
"Plate2-G02"	"3.1"	9	"Plate2-G02"	"11/11/16"	"HC+campy"	"HC"	TRUE	2689.1309	20.6	"Plate2"	"G02"
"Plate2-G04"	"3.3"	9	"Plate2-G04"	"11/11/16"	"HC+campy"	"HC"	TRUE	272.11272	22.91	"Plate2"	"G04"
"Plate2-G05"	"3.4"	9	"Plate2-G05"	"11/11/16"	"HC+campy"	"HC"	TRUE	0	23.85	"Plate2"	"G05"
"Plate2-G06"	"4.1"	9	"Plate2-G06"	"11/11/16"	"HC+campy"	"HC"	TRUE	922.27442	20.54	"Plate2"	"G06"
"Plate2-G07"	"4.2"	9	"Plate2-G07"	"11/11/16"	"HC+campy"	"HC"	TRUE	2479.78847	23.32	"Plate2"	"G07"
"Plate2-G08"	"4.3"	9	"Plate2-G08"	"11/11/16"	"HC+campy"	"HC"	TRUE	574.14061	21.12	"Plate2"	"G08"
"Plate2-G09"	"4.4"	9	"Plate2-G09"	"11/11/16"	"HC+campy"	"HC"	TRUE	854.3524	20.94	"Plate2"	"G09"
"Plate2-G10"	"5.2"	9	"Plate2-G10"	"11/11/16"	"dPD"	"dPD"	FALSE	0	19.8	"Plate2"	"G10"
"Plate2-G11"	"5.3"	9	"Plate2-G11"	"11/11/16"	"dPD"	"dPD"	FALSE	0	17.44	"Plate2"	"G11"
"Plate2-G12"	"5.4"	9	"Plate2-G12"	"11/11/16"	"dPD"	"dPD"	FALSE	0	17.71	"Plate2"	"G12"
"Plate2-H01"	"6.1"	9	"Plate2-H01"	"11/11/16"	"dPD"	"dPD"	FALSE	0	17.71	"Plate2"	"H01"
"Plate2-H02"	"6.2"	9	"Plate2-H02"	"11/11/16"	"dPD"	"dPD"	FALSE	0	20.82	"Plate2"	"H02"
"Plate2-H03"	"6.3"	9	"Plate2-H03"	"11/11/16"	"dPD"	"dPD"	FALSE	0	18.65	"Plate2"	"H03"
"Plate2-H04"	"6.4"	9	"Plate2-H04"	"11/11/16"	"dPD"	"dPD"	FALSE	0	20.33	"Plate2"	"H04"
"Plate2-H05"	"7.1"	9	"Plate2-H05"	"11/11/16"	"dPD+campy"	"dPD"	TRUE	424.60912	16.42	"Plate2"	"H05"
"Plate2-H06"	"7.2"	9	"Plate2-H06"	"11/11/16"	"dPD+campy"	"dPD"	TRUE	1711.92199	18.45	"Plate2"	"H06"
"Plate2-H07"	"7.3"	9	"Plate2-H07"	"11/11/16"	"dPD+campy"	"dPD"	TRUE	301.43258	17.93	"Plate2"	"H07"
"Plate2-H08"	"7.4"	9	"Plate2-H08"	"11/11/16"	"dPD+campy"	"dPD"	TRUE	343.59827	20.39	"Plate2"	"H08"
"Plate2-H09"	"8.2"	9	"Plate2-H09"	"11/11/16"	"dPD+campy"	"dPD"	TRUE	160.5715	16.04	"Plate2"	"H09"
"Plate2-H10"	"8.3"	9	"Plate2-H10"	"11/11/16"	"dPD+campy"	"dPD"	TRUE	411.22987	17.49	"Plate2"	"H10"
"Plate2-H11"	"8.4"	9	"Plate2-H11"	"11/11/16"	"dPD+campy"	"dPD"	TRUE	67.08792	17.65	"Plate2"	"H11"
"Plate3-A08"	"14.1"	9	"Plate3-A08"	"11/11/16"	"dZD"	"dZD"	FALSE	0	20.08	"Plate3"	"A08"
"Plate3-A09"	"14.4"	9	"Plate3-A09"	"11/11/16"	"dZD"	"dZD"	FALSE	0	22.11	"Plate3"	"A09"
"Plate3-A10"	"16.3"	9	"Plate3-A10"	"11/11/16"	"dZD+campy"	"dZD"	TRUE	187.62449	19.99	"Plate3"	"A10"
"Plate3-A11"	"16.4"	9	"Plate3-A11"	"11/11/16"	"dZD+campy"	"dZD"	TRUE	52.47162	20.78	"Plate3"	"A11"
