""	"Sample"	"days_post_infection"	"plate_sample"	"Date"	"Cage.Key"	"diet"	"infected"	"campy"	"weight"	"Plate"	"Well"
"Plate3-A02"	"9.3"	" 9"	"Plate3-A02"	"11/11/16"	"dN"	"dN"	"FALSE"	"   0.00000"	"20.37"	"Plate3"	"A02"
"Plate3-A03"	"10.1"	" 9"	"Plate3-A03"	"11/11/16"	"dN"	"dN"	"FALSE"	"   0.00000"	"22.20"	"Plate3"	"A03"
"Plate3-A04"	"10.2"	" 9"	"Plate3-A04"	"11/11/16"	"dN"	"dN"	"FALSE"	"   0.00000"	"21.61"	"Plate3"	"A04"
"Plate3-A05"	"10.3"	" 9"	"Plate3-A05"	"11/11/16"	"dN"	"dN"	"FALSE"	"   0.00000"	"20.41"	"Plate3"	"A05"
"Plate3-A06"	"10.4"	" 9"	"Plate3-A06"	"11/11/16"	"dN"	"dN"	"FALSE"	"   0.00000"	"21.37"	"Plate3"	"A06"
"Plate3-A07"	"11.4"	" 9"	"Plate3-A07"	"11/11/16"	"dN+campy"	"dN"	" TRUE"	"   0.00000"	"20.09"	"Plate3"	"A07"
"Plate3-A08"	"14.1"	" 9"	"Plate3-A08"	"11/11/16"	"dZD"	"dZD"	"FALSE"	"   0.00000"	"20.08"	"Plate3"	"A08"
"Plate3-A09"	"14.4"	" 9"	"Plate3-A09"	"11/11/16"	"dZD"	"dZD"	"FALSE"	"   0.00000"	"22.11"	"Plate3"	"A09"
"Plate3-A10"	"16.3"	" 9"	"Plate3-A10"	"11/11/16"	"dZD+campy"	"dZD"	" TRUE"	" 187.62449"	"19.99"	"Plate3"	"A10"
"Plate3-A11"	"16.4"	" 9"	"Plate3-A11"	"11/11/16"	"dZD+campy"	"dZD"	" TRUE"	"  52.47162"	"20.78"	"Plate3"	"A11"
"Plate3-A12"	"3.1"	"11"	"Plate3-A12"	"11/13/16"	"HC+campy"	"HC"	" TRUE"	"  68.75051"	NA	"Plate3"	"A12"
"Plate3-B01"	"3.2"	"11"	"Plate3-B01"	"11/13/16"	"HC+campy"	"HC"	" TRUE"	"   0.00000"	NA	"Plate3"	"B01"
"Plate3-B02"	"3.3"	"11"	"Plate3-B02"	"11/13/16"	"HC+campy"	"HC"	" TRUE"	"   0.00000"	NA	"Plate3"	"B02"
"Plate3-B03"	"3.4"	"11"	"Plate3-B03"	"11/13/16"	"HC+campy"	"HC"	" TRUE"	"   0.00000"	NA	"Plate3"	"B03"
"Plate3-B05"	"4.2"	"11"	"Plate3-B05"	"11/13/16"	"HC+campy"	"HC"	" TRUE"	"  48.24615"	NA	"Plate3"	"B05"
"Plate3-B07"	"4.4"	"11"	"Plate3-B07"	"11/13/16"	"HC+campy"	"HC"	" TRUE"	"   0.00000"	NA	"Plate3"	"B07"
"Plate3-B08"	"7.1"	"11"	"Plate3-B08"	"11/13/16"	"dPD+campy"	"dPD"	" TRUE"	"   0.00000"	NA	"Plate3"	"B08"
"Plate3-B09"	"7.2"	"11"	"Plate3-B09"	"11/13/16"	"dPD+campy"	"dPD"	" TRUE"	"   0.00000"	NA	"Plate3"	"B09"
"Plate3-B10"	"7.3"	"11"	"Plate3-B10"	"11/13/16"	"dPD+campy"	"dPD"	" TRUE"	"   0.00000"	NA	"Plate3"	"B10"
"Plate3-B11"	"7.4"	"11"	"Plate3-B11"	"11/13/16"	"dPD+campy"	"dPD"	" TRUE"	"   0.00000"	NA	"Plate3"	"B11"
"Plate3-B12"	"8.1"	"11"	"Plate3-B12"	"11/13/16"	"dPD+campy"	"dPD"	" TRUE"	"   0.00000"	NA	"Plate3"	"B12"
"Plate3-C01"	"8.2"	"11"	"Plate3-C01"	"11/13/16"	"dPD+campy"	"dPD"	" TRUE"	"   0.00000"	NA	"Plate3"	"C01"
"Plate3-C02"	"8.3"	"11"	"Plate3-C02"	"11/13/16"	"dPD+campy"	"dPD"	" TRUE"	"   0.00000"	NA	"Plate3"	"C02"
"Plate3-C03"	"8.4"	"11"	"Plate3-C03"	"11/13/16"	"dPD+campy"	"dPD"	" TRUE"	"   0.00000"	NA	"Plate3"	"C03"
"Plate3-C04"	"11.2"	"11"	"Plate3-C04"	"11/13/16"	"dN+campy"	"dN"	" TRUE"	"   0.00000"	NA	"Plate3"	"C04"
"Plate3-C05"	"11.3"	"11"	"Plate3-C05"	"11/13/16"	"dN+campy"	"dN"	" TRUE"	"   0.00000"	NA	"Plate3"	"C05"
"Plate3-C06"	"12.2"	"11"	"Plate3-C06"	"11/13/16"	"dN+campy"	"dN"	" TRUE"	"   0.00000"	NA	"Plate3"	"C06"
"Plate3-C07"	"15.1"	"11"	"Plate3-C07"	"11/13/16"	"dZD+campy"	"dZD"	" TRUE"	"   0.00000"	NA	"Plate3"	"C07"
"Plate3-C08"	"15.2"	"11"	"Plate3-C08"	"11/13/16"	"dZD+campy"	"dZD"	" TRUE"	"   0.00000"	NA	"Plate3"	"C08"
"Plate3-C09"	"15.3"	"11"	"Plate3-C09"	"11/13/16"	"dZD+campy"	"dZD"	" TRUE"	"   0.00000"	NA	"Plate3"	"C09"
"Plate3-C10"	"15.4"	"11"	"Plate3-C10"	"11/13/16"	"dZD+campy"	"dZD"	" TRUE"	"   0.00000"	NA	"Plate3"	"C10"
"Plate3-C11"	"16.1"	"11"	"Plate3-C11"	"11/13/16"	"dZD+campy"	"dZD"	" TRUE"	"   0.00000"	NA	"Plate3"	"C11"
"Plate3-C12"	"16.2"	"11"	"Plate3-C12"	"11/13/16"	"dZD+campy"	"dZD"	" TRUE"	"   0.00000"	NA	"Plate3"	"C12"
"Plate3-D01"	"16.3"	"11"	"Plate3-D01"	"11/13/16"	"dZD+campy"	"dZD"	" TRUE"	"   0.00000"	NA	"Plate3"	"D01"
"Plate3-D02"	"16.4"	"11"	"Plate3-D02"	"11/13/16"	"dZD+campy"	"dZD"	" TRUE"	"   0.00000"	NA	"Plate3"	"D02"
